tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound
@chonistyles My choni heart🥺💔,False,en,2,0,2021-02-27 01:08:54,1365468920744935431,"['choni', 'heart']",choni heart,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
thinking about a choni sex scene in 5b in toni’s bedroom,False,en,22,1,2021-02-27 01:04:59,1365467936962535432,"['thinking', 'choni', 'sex', 'scene', '5b', 'toni', 'bedroom']",thinking choni sex scene 5b toni bedroom,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@CW_Riverdale BUGHEAD AND CHONI ENDGAME !!,False,en,1,0,2021-02-27 01:03:58,1365467679772049408,"['bughead', 'choni', 'endgame']",bughead choni endgame,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@CW_Riverdale choni endgame https://t.co/kjhzFZskAC,False,en,11,1,2021-02-27 01:02:46,1365467375554953220,"['choni', 'endgame']",choni endgame,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
the way Choni aren’t even the first exes to lovers I’ve seen where one is a redhead lesbian arsonist 😶 https://t.co/KTuW9x01Db,False,en,6,0,2021-02-27 01:02:16,1365467249260302337,"['way', 'choni', 'even', 'first', 'exes', 'lovers', 'seen', 'one', 'redhead', 'lesbian', 'arsonist']",way choni even first exes lovers seen one redhead lesbian arsonist,0.0,0.841,0.159,0.5267,0.0,0.841,0.159,0.5267,0.0,0.841,0.159,0.5267,0.0,0.841,0.159,0.5267,0.0,0.841,0.159,0.5267
of course but first the choni au we found on insta https://t.co/Qw5ZZyyKiG,True,en,1,0,2021-02-27 00:58:51,1365466393223835650,"['course', 'first', 'choni', 'au', 'found', 'insta']",course first choni au found insta,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @chonibIossom: no choni kiss until second half of 2021 https://t.co/2iKDRdg3hs,False,en,0,5,2021-02-27 00:58:49,1365466385015521285,"['choni', 'kiss', 'second', 'half', '2021']",choni kiss second half 2021,0.157,0.643,0.2,0.1531,0.157,0.643,0.2,0.1531,0.157,0.643,0.2,0.1531,0.157,0.643,0.2,0.1531,0.157,0.643,0.2,0.1531
@swangsnation Why don't you want us men to have what women have with Choni? All we want is amazing representation for a male relationship.,False,en,0,0,2021-02-27 00:54:55,1365465399630852096,"['want', 'us', 'men', 'women', 'choni', 'want', 'amazing', 'representation', 'male', 'relationship']",want us men women choni want amazing representation male relationship,0.093,0.762,0.145,0.5197,0.093,0.762,0.145,0.5197,0.093,0.762,0.145,0.5197,0.093,0.762,0.145,0.5197,0.093,0.762,0.145,0.5197
Post time jump Riverdale has been my fav! They are doing what they should have since season 2!!!!#Riverdale #RiverdaleSeason5 #Kangs #Choni https://t.co/pKSyQ9ePoP,True,en,4,0,2021-02-27 00:53:32,1365465054125039618,"['post', 'time', 'jump', 'riverdale', 'fav', 'since', 'season', '2', 'riverdale', 'riverdaleseason5', 'kangs', 'choni']",post time jump riverdale fav since season 2 riverdale riverdaleseason5 kangs choni,0.0,0.834,0.166,0.6331,0.0,0.834,0.166,0.6331,0.0,0.834,0.166,0.6331,0.0,0.834,0.166,0.6331,0.0,0.834,0.166,0.6331
Cheryl and Toni in 5x08 or the key party episode is either gonna make them or break them.. 🤷🏼‍♀️ i am so not ready to say goodbye to choni :(( but i'll prepare myself!,False,en,0,0,2021-02-27 00:49:28,1365464028227637248,"['cheryl', 'toni', '5x08', 'key', 'party', 'episode', 'either', 'gonna', 'make', 'break', 'ready', 'say', 'goodbye', 'choni', 'prepare']",cheryl toni 5x08 key party episode either gonna make break ready say goodbye choni prepare,0.049,0.89,0.061,0.1149,0.049,0.89,0.061,0.1149,0.049,0.89,0.061,0.1149,0.049,0.89,0.061,0.1149,0.049,0.89,0.061,0.1149
@bugheadblossom someone is getting married this season cause someone posted a wedding pic at thistlehouse so its either kangs or choni?,False,en,1,0,2021-02-27 00:46:51,1365463369445236741,"['someone', 'getting', 'married', 'season', 'cause', 'someone', 'posted', 'wedding', 'pic', 'thistlehouse', 'either', 'kangs', 'choni']",someone getting married season cause someone posted wedding pic thistlehouse either kangs choni,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Ok, but hear me out... Tabitha, Veronica, Choni love square!? Yup yup.",False,en,0,0,2021-02-27 00:42:10,1365462191432863744,"['ok', 'hear', 'tabitha', 'veronica', 'choni', 'love', 'square', 'yup', 'yup']",ok hear tabitha veronica choni love square yup yup,0.0,0.565,0.435,0.8268,0.0,0.565,0.435,0.8268,0.0,0.565,0.435,0.8268,0.0,0.565,0.435,0.8268,0.0,0.565,0.435,0.8268
"RT @chonistyles: THIS IS CHONI'S SEASON
https://t.co/WJZaLcWma3",False,en,0,11,2021-02-27 00:34:58,1365460383012691968,"['choni', 'season']",choni season,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i keep making choni twt scenarios and each one fits them so well wtf,False,en,0,0,2021-02-27 00:26:53,1365458345004515330,"['keep', 'making', 'choni', 'twt', 'scenarios', 'one', 'fits', 'well', 'wtf']",keep making choni twt scenarios one fits well wtf,0.229,0.617,0.154,-0.3263,0.229,0.617,0.154,-0.3263,0.229,0.617,0.154,-0.3263,0.229,0.617,0.154,-0.3263,0.229,0.617,0.154,-0.3263
"i hate these rumours about cheryl and tabitha potentially being a couple because i’m one of those people who would defend a ship with their entire life. 

anyway choni endgame.",False,en,1,0,2021-02-27 00:26:39,1365458288121425925,"['hate', 'rumours', 'cheryl', 'tabitha', 'potentially', 'couple', 'one', 'people', 'would', 'defend', 'ship', 'entire', 'life', 'anyway', 'choni', 'endgame']",hate rumours cheryl tabitha potentially couple one people would defend ship entire life anyway choni endgame,0.125,0.875,0.0,-0.5719,0.125,0.875,0.0,-0.5719,0.125,0.875,0.0,-0.5719,0.125,0.875,0.0,-0.5719,0.125,0.875,0.0,-0.5719
@enbytabitha i mean i think it’ll be cool but i need choni back,False,en,0,0,2021-02-27 00:23:11,1365457416352055302,"['mean', 'think', 'cool', 'need', 'choni', 'back']",mean think cool need choni back,0.0,0.845,0.155,0.1655,0.0,0.845,0.155,0.1655,0.0,0.845,0.155,0.1655,0.0,0.845,0.155,0.1655,0.0,0.845,0.155,0.1655
"I love how we were somewhat secure in our “hehehehe this Choni angst is fun.. rivals?? teasing?? dance off?? but they’re still in love?? go on 👀”

*Cheryl kisses someone* https://t.co/F2XAg8sLrJ",False,en,5,0,2021-02-27 00:18:28,1365456229338906624,"['love', 'somewhat', 'secure', 'hehehehe', 'choni', 'angst', 'fun', 'rivals', 'teasing', 'dance', 'still', 'love', 'go', 'cheryl', 'kisses', 'someone']",love somewhat secure hehehehe choni angst fun rivals teasing dance still love go cheryl kisses someone,0.028,0.602,0.37,0.9452,0.028,0.602,0.37,0.9452,0.028,0.602,0.37,0.9452,0.028,0.602,0.37,0.9452,0.028,0.602,0.37,0.9452
RT @choniserpents: OKAY BUT IMAGINE IF WE GET A CHONI SEX SCENE IN THE 5B TRAILER,False,en,0,7,2021-02-27 00:18:25,1365456214658863105,"['okay', 'imagine', 'get', 'choni', 'sex', 'scene', '5b', 'trailer']",okay imagine get choni sex scene 5b trailer,0.0,0.885,0.115,0.2063,0.0,0.885,0.115,0.2063,0.0,0.885,0.115,0.2063,0.0,0.885,0.115,0.2063,0.0,0.885,0.115,0.2063
"Stressed about cheryl locking lips with someone other than toni and reading 5x08 synopsis. That's 2 in a day riverdale, chill out!! 😫 i'm not ready to say goodbye to choni :((",False,en,0,0,2021-02-27 00:18:17,1365456180391276548,"['stressed', 'cheryl', 'locking', 'lips', 'someone', 'toni', 'reading', '5x08', 'synopsis', '2', 'day', 'riverdale', 'chill', 'ready', 'say', 'goodbye', 'choni']",stressed cheryl locking lips someone toni reading 5x08 synopsis 2 day riverdale chill ready say goodbye choni,0.159,0.841,0.0,-0.6242,0.159,0.841,0.0,-0.6242,0.159,0.841,0.0,-0.6242,0.159,0.841,0.0,-0.6242,0.159,0.841,0.0,-0.6242
choni fucking when — 5b https://t.co/ITe1ckQ9br,False,en,3,0,2021-02-27 00:17:04,1365455877743009796,"['choni', 'fucking', '5b']",choni fucking 5b,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
choni to this song !! my fave soul mates 💞 https://t.co/nygq6OyYqb,False,en,8,0,2021-02-27 00:15:55,1365455588533108739,"['choni', 'song', 'fave', 'soul', 'mates']",choni song fave soul mates,0.0,0.721,0.279,0.5399,0.0,0.721,0.279,0.5399,0.0,0.721,0.279,0.5399,0.0,0.721,0.279,0.5399,0.0,0.721,0.279,0.5399
manifesting a choni rain kiss https://t.co/OqR6wreM49,False,en,33,0,2021-02-27 00:13:50,1365455060935839746,"['manifesting', 'choni', 'rain', 'kiss']",manifesting choni rain kiss,0.0,0.588,0.412,0.4215,0.0,0.588,0.412,0.4215,0.0,0.588,0.412,0.4215,0.0,0.588,0.412,0.4215,0.0,0.588,0.412,0.4215
"why are we talking about choni doing fwb? have you seen them? they can’t even be in the same room without giving each other heart eyes, it’s pathetic. they’d just be hurting even more since they wouldn’t be allowing themselves to feel anything deeper and real for each other",False,en,16,0,2021-02-27 00:13:35,1365455000600772609,"['talking', 'choni', 'fwb', 'seen', 'even', 'room', 'without', 'giving', 'heart', 'eyes', 'pathetic', 'hurting', 'even', 'since', 'allowing', 'feel', 'anything', 'deeper', 'real']",talking choni fwb seen even room without giving heart eyes pathetic hurting even since allowing feel anything deeper real,0.154,0.785,0.061,-0.6481,0.154,0.785,0.061,-0.6481,0.154,0.785,0.061,-0.6481,0.154,0.785,0.061,-0.6481,0.154,0.785,0.061,-0.6481
I didn’t mean like fwb like barchie is I more meant friends who want to be more but arent so they’re kind of in t… — well choni are in love but they are going through situations where they are unable to explain that to the other s… https://t.co/kjjXEKEJuv,False,en,10,0,2021-02-27 00:13:00,1365454852978053121,"['mean', 'like', 'fwb', 'like', 'barchie', 'meant', 'friends', 'want', 'arent', 'kind', 'well', 'choni', 'love', 'going', 'situations', 'unable', 'explain']",mean like fwb like barchie meant friends want arent kind well choni love going situations unable explain,0.0,0.69,0.31,0.9386,0.0,0.69,0.31,0.9386,0.0,0.69,0.31,0.9386,0.0,0.69,0.31,0.9386,0.0,0.69,0.31,0.9386
"top 3 choni scenes — 2x16 almost kiss, 2x17 kiss &amp; the second painting flashback in 5x04  https://t.co/DrREetT3Fy",False,en,3,0,2021-02-27 00:10:22,1365454190177353733,"['top', '3', 'choni', 'scenes', '2x16', 'almost', 'kiss', '2x17', 'kiss', 'amp', 'second', 'painting', 'flashback', '5x04']",top 3 choni scenes 2x16 almost kiss 2x17 kiss amp second painting flashback 5x04,0.0,0.656,0.344,0.7017,0.0,0.656,0.344,0.7017,0.0,0.656,0.344,0.7017,0.0,0.656,0.344,0.7017,0.0,0.656,0.344,0.7017
"choni would NOT do fwb!! it wouldn’t work for them at all, they’re both in love with each other and the whole reason they aren’t together is because cheryl thinks she’s protecting Toni- fwb would just be painful for them both!! it makes no sense why are people suggesting this 😭",False,en,13,0,2021-02-27 00:08:40,1365453763549540352,"['choni', 'would', 'fwb', 'work', 'love', 'whole', 'reason', 'together', 'cheryl', 'thinks', 'protecting', 'toni', 'fwb', 'would', 'painful', 'makes', 'sense', 'people', 'suggesting']",choni would fwb work love whole reason together cheryl thinks protecting toni fwb would painful makes sense people suggesting,0.196,0.736,0.069,-0.7762,0.196,0.736,0.069,-0.7762,0.196,0.736,0.069,-0.7762,0.196,0.736,0.069,-0.7762,0.196,0.736,0.069,-0.7762
what’s ur like genuine theory that’s gonna happen in 5x08 — CHONI RAIN KISS/FEELINGS CONFESSION SKSJSJ? SOMETHING IN THE RAIN https://t.co/jtwYzGxR5N,False,en,3,0,2021-02-27 00:07:53,1365453567054798849,"['ur', 'like', 'genuine', 'theory', 'gonna', 'happen', '5x08', 'choni', 'rain', 'kiss', 'feelings', 'confession', 'sksjsj', 'something', 'rain']",ur like genuine theory gonna happen 5x08 choni rain kiss feelings confession sksjsj something rain,0.0,0.884,0.116,0.3612,0.0,0.884,0.116,0.3612,0.0,0.884,0.116,0.3612,0.0,0.884,0.116,0.3612,0.0,0.884,0.116,0.3612
"choni have way too many feelings to 
 even consider fwb — exactly https://t.co/0FtzzozAPl",False,en,9,0,2021-02-27 00:07:18,1365453417783689216,"['choni', 'way', 'many', 'feelings', 'even', 'consider', 'fwb', 'exactly']",choni way many feelings even consider fwb exactly,0.0,0.759,0.241,0.5423,0.0,0.759,0.241,0.5423,0.0,0.759,0.241,0.5423,0.0,0.759,0.241,0.5423,0.0,0.759,0.241,0.5423
I feel like it could be applicable to see choni as more fwb right now because I don’t think cheryl is ready for a… — i could not see choni being fwb and also toni's family accepted cheryl which was made clear and cheryl knows that… https://t.co/Dk1UD9PItJ,False,en,7,0,2021-02-27 00:04:31,1365452716458319872,"['feel', 'like', 'could', 'applicable', 'see', 'choni', 'fwb', 'right', 'think', 'cheryl', 'ready', 'could', 'see', 'choni', 'fwb', 'also', 'toni', 'family', 'accepted', 'cheryl', 'made', 'clear', 'cheryl', 'knows']",feel like could applicable see choni fwb right think cheryl ready could see choni fwb also toni family accepted cheryl made clear cheryl knows,0.0,0.682,0.318,0.9459,0.0,0.682,0.318,0.9459,0.0,0.682,0.318,0.9459,0.0,0.682,0.318,0.9459,0.0,0.682,0.318,0.9459
"I will be voting for Barchie, Choni, and Falice. Who's with me? 😇 https://t.co/0k9pxUUjWA",True,en,9,1,2021-02-27 00:04:24,1365452687177777152,"['voting', 'barchie', 'choni', 'falice']",voting barchie choni falice,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
why r u so again the choni rain kiss 5x08 agenda — GO AWAY HANNAH https://t.co/J9CHHhgQhu,False,en,3,0,2021-02-27 00:04:06,1365452614784196611,"['r', 'u', 'choni', 'rain', 'kiss', '5x08', 'agenda', 'go', 'away', 'hannah']",r u choni rain kiss 5x08 agenda go away hannah,0.0,0.811,0.189,0.4215,0.0,0.811,0.189,0.4215,0.0,0.811,0.189,0.4215,0.0,0.811,0.189,0.4215,0.0,0.811,0.189,0.4215
RT @livetweetdisbih: choni haven't been together for 7 years 😐,False,en,0,2,2021-02-27 00:00:50,1365451792344039428,"['choni', 'together', '7', 'years']",choni together 7 years,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@chonicarrington @madeIainesz In the end choni will forever be the only endgame,False,en,2,0,2021-02-26 23:56:28,1365450693637775360,"['end', 'choni', 'forever', 'endgame']",end choni forever endgame,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
my choni heart is broken https://t.co/ebF5MJJdUg,False,en,1,0,2021-02-26 23:54:09,1365450111132827660,"['choni', 'heart', 'broken']",choni heart broken,0.383,0.617,0.0,-0.4767,0.383,0.617,0.0,-0.4767,0.383,0.617,0.0,-0.4767,0.383,0.617,0.0,-0.4767,0.383,0.617,0.0,-0.4767
CHONI IS THE MAIN STORYLINE IN 5X08 https://t.co/uuZzPnbpdG,False,en,6,0,2021-02-26 23:53:05,1365449840864489474,"['choni', 'main', 'storyline', '5x08']",choni main storyline 5x08,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@HBIC_Choni it was chaos on my tl so i decided to add to it,False,en,2,0,2021-02-26 23:52:57,1365449807612043265,"['chaos', 'tl', 'decided', 'add']",chaos tl decided add,0.236,0.764,0.0,-0.5719,0.236,0.764,0.0,-0.5719,0.236,0.764,0.0,-0.5719,0.236,0.764,0.0,-0.5719,0.236,0.764,0.0,-0.5719
What is joe biden’s plan to abolish google docs. But anyways vote choni https://t.co/3iZG3wOIpM https://t.co/gO1Yjtja9S,True,en,4,1,2021-02-26 23:51:51,1365449529122840576,"['joe', 'biden', 'plan', 'abolish', 'google', 'docs', 'anyways', 'vote', 'choni']",joe biden plan abolish google docs anyways vote choni,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Okay but what if it’s a housewarming party at thistle house and Toni runs out of the house for some reason and Cheryl follows her outside and CHONI RAIN KISS CONFIRMED https://t.co/HeLO2laqH0,True,en,1,0,2021-02-26 23:50:35,1365449209940434947,"['okay', 'housewarming', 'party', 'thistle', 'house', 'toni', 'runs', 'house', 'reason', 'cheryl', 'follows', 'outside', 'choni', 'rain', 'kiss', 'confirmed']",okay housewarming party thistle house toni runs house reason cheryl follows outside choni rain kiss confirmed,0.0,0.741,0.259,0.8689,0.0,0.741,0.259,0.8689,0.0,0.741,0.259,0.8689,0.0,0.741,0.259,0.8689,0.0,0.741,0.259,0.8689
these choni edits r making me wanting to watch rvd istg- https://t.co/0plTT9fKm6,True,en,3,0,2021-02-26 23:49:36,1365448964393345024,"['choni', 'edits', 'r', 'making', 'wanting', 'watch', 'rvd', 'istg']",choni edits r making wanting watch rvd istg,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"we thought teen choni out served all the other ships, just wait until we get adult choni kissing in the rain afte… — they keep raising the bar for the riverdale ships... nobody does it like them https://t.co/V8noeuukqA",False,en,16,0,2021-02-26 23:46:54,1365448284895076356,"['thought', 'teen', 'choni', 'served', 'ships', 'wait', 'get', 'adult', 'choni', 'kissing', 'rain', 'afte', 'keep', 'raising', 'bar', 'riverdale', 'ships', 'nobody', 'like']",thought teen choni served ships wait get adult choni kissing rain afte keep raising bar riverdale ships nobody like,0.0,0.85,0.15,0.7351,0.0,0.85,0.15,0.7351,0.0,0.85,0.15,0.7351,0.0,0.85,0.15,0.7351,0.0,0.85,0.15,0.7351
RT @GTRarmyTM: Thiccc 🍑 https://t.co/moDEeJ4UVO,False,en,0,126,2021-02-26 23:46:46,1365448249277108225,['thiccc'],thiccc,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
barchie has more sex scenes than choni,False,en,10,0,2021-02-26 23:43:38,1365447463960723458,"['barchie', 'sex', 'scenes', 'choni']",barchie sex scenes choni,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
choni has always gotten the short end of the stick  but they stilll manage to come out as the best ship on that s… — perfectly said https://t.co/ekZxR3jNsy,False,en,13,0,2021-02-26 23:43:36,1365447454884265984,"['choni', 'always', 'gotten', 'short', 'end', 'stick', 'stilll', 'manage', 'come', 'best', 'ship', 'perfectly', 'said']",choni always gotten short end stick stilll manage come best ship perfectly said,0.0,0.683,0.317,0.9274,0.0,0.683,0.317,0.9274,0.0,0.683,0.317,0.9274,0.0,0.683,0.317,0.9274,0.0,0.683,0.317,0.9274
"I mean, is it so difficult to give me choni rain kiss?",False,en,7,0,2021-02-26 23:43:29,1365447426547609605,"['mean', 'difficult', 'give', 'choni', 'rain', 'kiss']",mean difficult give choni rain kiss,0.215,0.598,0.186,-0.1132,0.215,0.598,0.186,-0.1132,0.215,0.598,0.186,-0.1132,0.215,0.598,0.186,-0.1132,0.215,0.598,0.186,-0.1132
"CHONI FOR THE WIN 
CHONI FOR THE WIN 
CHONI FOR THE WIN 
CHONI FOR THE WIN — SAY IT LOUDER https://t.co/M2nqyZDy1O",False,en,10,0,2021-02-26 23:41:53,1365447022099243011,"['choni', 'win', 'choni', 'win', 'choni', 'win', 'choni', 'win', 'say', 'louder']",choni win choni win choni win choni win say louder,0.0,0.469,0.531,0.9644,0.0,0.469,0.531,0.9644,0.0,0.469,0.531,0.9644,0.0,0.469,0.531,0.9644,0.0,0.469,0.531,0.9644
"“I came to see this movie with fangs but he bailed” I think we should all thank fangs for bailing because if he didn’t, choni wouldn’t be happening so say thank you fangs",False,en,0,0,2021-02-26 23:39:39,1365446461735976960,"['came', 'see', 'movie', 'fangs', 'bailed', 'think', 'thank', 'fangs', 'bailing', 'choni', 'happening', 'say', 'thank', 'fangs']",came see movie fangs bailed think thank fangs bailing choni happening say thank fangs,0.0,0.822,0.178,0.7579,0.0,0.822,0.178,0.7579,0.0,0.822,0.178,0.7579,0.0,0.822,0.178,0.7579,0.0,0.822,0.178,0.7579
@robynchoni choni boning*,False,en,3,0,2021-02-26 23:36:15,1365445606152486922,"['choni', 'boning']",choni boning,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @Vale8Vale: RT if you ship and love Cheryl&amp;Toni !!! #Choni #Riverdale https://t.co/jT1Tiv0Gzh,False,en,0,0,2021-02-26 23:34:59,1365445286009729029,"['ship', 'love', 'cheryl', 'amp', 'toni', 'choni', 'riverdale']",ship love cheryl amp toni choni riverdale,0.0,0.703,0.297,0.7249,0.0,0.703,0.297,0.7249,0.0,0.703,0.297,0.7249,0.0,0.703,0.297,0.7249,0.0,0.703,0.297,0.7249
@riverindale listen choni swangs jarchie triple wedding tho 😭😭😭😭,False,en,3,0,2021-02-26 23:34:47,1365445236781166594,"['listen', 'choni', 'swangs', 'jarchie', 'triple', 'wedding', 'tho']",listen choni swangs jarchie triple wedding tho,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @santiagoswhore: @goldncory @WANDASVlSl0N @marspov choni and veronica and tabitha supremacy,False,en,0,1,2021-02-26 23:33:29,1365444906722844673,"['choni', 'veronica', 'tabitha', 'supremacy']",choni veronica tabitha supremacy,0.0,0.893,0.107,0.0516,0.0,0.893,0.107,0.0516,0.0,0.893,0.107,0.0516,0.0,0.893,0.107,0.0516,0.0,0.893,0.107,0.0516
@goldncory @marspov @santiagoswhore YES THIS AND CHONI,False,en,0,0,2021-02-26 23:33:24,1365444887127162881,"['yes', 'choni']",yes choni,0.0,0.636,0.364,0.5319,0.0,0.636,0.364,0.5319,0.0,0.636,0.364,0.5319,0.0,0.636,0.364,0.5319,0.0,0.636,0.364,0.5319
@goldncory @WANDASVlSl0N @marspov choni and veronica and tabitha supremacy,False,en,1,1,2021-02-26 23:33:16,1365444853505613825,"['choni', 'veronica', 'tabitha', 'supremacy']",choni veronica tabitha supremacy,0.0,0.87,0.13,0.0516,0.0,0.87,0.13,0.0516,0.0,0.87,0.13,0.0516,0.0,0.87,0.13,0.0516,0.0,0.87,0.13,0.0516
"RT @sweetchonis: the thought of a Choni wedding honestly brings me such peace, it would be so beautiful and they deserve it so much 🥺",False,en,0,5,2021-02-26 23:33:09,1365444823973560320,"['thought', 'choni', 'wedding', 'honestly', 'brings', 'peace', 'would', 'beautiful', 'deserve', 'much']",thought choni wedding honestly brings peace would beautiful deserve much,0.0,0.635,0.365,0.9098,0.0,0.635,0.365,0.9098,0.0,0.635,0.365,0.9098,0.0,0.635,0.365,0.9098,0.0,0.635,0.365,0.9098
@VanessaMorgan @madelainepetsch love the time jump sad that choni isn’t a thing 🥺😢😭 https://t.co/60elbynymy,False,en,1,0,2021-02-26 23:27:19,1365443355723890688,"['love', 'time', 'jump', 'sad', 'choni', 'thing']",love time jump sad choni thing,0.169,0.601,0.23,0.2732,0.169,0.601,0.23,0.2732,0.169,0.601,0.23,0.2732,0.169,0.601,0.23,0.2732,0.169,0.601,0.23,0.2732
@livetweetdisbih Choosing violence today I see 😤,False,en,2,0,2021-02-26 23:26:50,1365443234131042305,"['choosing', 'violence', 'today', 'see']",choosing violence today see,0.506,0.494,0.0,-0.6249,0.506,0.494,0.0,-0.6249,0.506,0.494,0.0,-0.6249,0.506,0.494,0.0,-0.6249,0.506,0.494,0.0,-0.6249
anyone else notice that in all these multi ship ship names choni is last. barCHONI varCHONI bugCHONI bugvarCHONI … — oh definitely lmaoo 💀 i’m tired of people using choni for clout &amp; to boost their straight ships it’s weird as he… https://t.co/q3Qt0kVbH6,False,en,0,0,2021-02-26 23:25:40,1365442939636350979,"['anyone', 'else', 'notice', 'multi', 'ship', 'ship', 'names', 'choni', 'last', 'barchoni', 'varchoni', 'bugchoni', 'bugvarchoni', 'oh', 'definitely', 'lmaoo', 'tired', 'people', 'using', 'choni', 'clout', 'amp', 'boost', 'straight', 'ships', 'weird']",anyone else notice multi ship ship names choni last barchoni varchoni bugchoni bugvarchoni oh definitely lmaoo tired people using choni clout amp boost straight ships weird,0.098,0.746,0.156,0.4019,0.098,0.746,0.156,0.4019,0.098,0.746,0.156,0.4019,0.098,0.746,0.156,0.4019,0.098,0.746,0.156,0.4019
@cherylstopaaz goodnight choni rain kiss 5x08 dreams bestie!! xxxx,False,en,1,0,2021-02-26 23:23:25,1365442376471351299,"['goodnight', 'choni', 'rain', 'kiss', '5x08', 'dreams', 'bestie', 'xxxx']",goodnight choni rain kiss 5x08 dreams bestie xxxx,0.0,0.535,0.465,0.7256,0.0,0.535,0.465,0.7256,0.0,0.535,0.465,0.7256,0.0,0.535,0.465,0.7256,0.0,0.535,0.465,0.7256
okay but the last episode before break being choni-centric? it’s what we deserve https://t.co/qASThxNeUZ,False,en,3,0,2021-02-26 23:20:44,1365441699753852929,"['okay', 'last', 'episode', 'break', 'choni', 'centric', 'deserve']",okay last episode break choni centric deserve,0.0,0.9,0.1,0.1154,0.0,0.9,0.1,0.1154,0.0,0.9,0.1,0.1154,0.0,0.9,0.1,0.1154,0.0,0.9,0.1,0.1154
@ruestopaz goodnight choni rain kiss 5x08 warrior bestie,False,en,0,0,2021-02-26 23:19:32,1365441396782616577,"['goodnight', 'choni', 'rain', 'kiss', '5x08', 'warrior', 'bestie']",goodnight choni rain kiss 5x08 warrior bestie,0.0,0.714,0.286,0.4215,0.0,0.714,0.286,0.4215,0.0,0.714,0.286,0.4215,0.0,0.714,0.286,0.4215,0.0,0.714,0.286,0.4215
Choni being the main storyline in this espisode. Can march 17th hurry the hell up? https://t.co/V1thtyb3dA,False,en,3,0,2021-02-26 23:15:25,1365440360705495043,"['choni', 'main', 'storyline', 'espisode', 'march', '17th', 'hurry', 'hell']",choni main storyline espisode march 17th hurry hell,0.235,0.765,0.0,-0.6808,0.235,0.765,0.0,-0.6808,0.235,0.765,0.0,-0.6808,0.235,0.765,0.0,-0.6808,0.235,0.765,0.0,-0.6808
